Contenido;Título del vídeo;Hora de publicación del vídeo;Clics por elemento de pantalla final mostrado (%);Elementos de pantalla final mostrados;Clics en elementos de pantalla final;Clics en teaser por teaser de tarjeta mostrado (%);Teasers de tarjeta mostrados;Clics en teaser de tarjeta;Clics por tarjeta mostrada (%);Tarjetas mostradas;Clics en tarjetas;Me gusta (vs. No me gusta) (%);No me gusta;Me gusta;Mostrado en el feed;Vistos (frente a saltados) (%);Comentarios añadidos;Compartido;RPM (USD);Ingresos estimados (USD);Suscriptores perdidos;Suscriptores ganados;Porcentaje medio visto (%);Visualizaciones;Tiempo de visualización (horas);Duración media de las visualizaciones;Impresiones;Porcentaje de clics de las impresiones (%)
Total;;;1.22;3844;47;0.37;6822;25;11.54;130;15;99.4;2;334;605;59.83;12;125;1,276;18,421;85;138;25.96;13856;8,748,132;0:03:47;201937;3.88
_g8JtwLevHA;👉 Esto es lo que PUEDES HACER con Corel Draw ▶ DelcaVideography;Mar 4, 2021;1.93;570;11;0;286;0;;0;0;100;0;4;0;;0;10;0.717;0.382;0;3;62.89;559;108,388;0:01:09;3073;10.45
Mf_462e-1PI;💚 Curso COREL DRAW en YOUTUBE 2022 (Entrenamiento Online) ▶ DelcaVideography;Mar 8, 2021;1.55;194;3;0;168;0;;0;0;100;0;11;0;;0;6;1,022;0.398;1;12;47.26;357;52,962;0:00:53;1125;2.84
3Zai99qd9kQ;🔥 USA LETRAS para CREAR LOGOS si SIGUES estos PASOS ▶ TUTORIAL |  DelcaVideography;Mar 15, 2022;13.33;15;2;0;8;0;;0;0;;0;0;0;;0;0;1,033;0.031;0;0;22.57;32;19,579;0:03:40;239;3.35
9BffzhQPChk;Herramienta DISTORSIÓN Tutorial CorelDRAW;Feb 21, 2023;4.55;44;2;0;8;0;;0;0;100;0;11;0;;0;0;1,377;0.177;0;2;36.2;140;90,107;0:03:51;2700;3.15
GfppqrKjn24;👊 FUNCIONA! 20 TRUCOS que *DEBES SABER* de CorelDRAW (2021) ► DelcaVideography;Sep 12, 2017;2.27;88;2;0;467;0;;0;0;100;0;12;0;;1;13;1,803;0.935;0;12;35.66;501;439,208;0:05:15;11463;3.14
PYF0AejVLTY;👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶ DelcaVideography;May 3, 2021;1.12;179;2;0.78;255;2;16.67;6;1;100;0;4;0;;0;2;1,139;0.602;0;1;53.63;486;161,461;0:01:59;2962;8.37
TNPy19MT0iE;✅ Esto NECESITAS para usar Vegas Pro en tu PC (2022)  ▶ @DelcaX;Nov 22, 2022;14.29;14;2;;0;0;;0;0;100;0;1;0;;0;0;0.765;0.013;0;0;42.29;19;0.4285;0:01:21;315;2.86
UzS9Iar4trA;✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL | DelcaVideography;Nov 23, 2021;4.65;43;2;0;41;0;;0;0;100;0;3;0;;0;0;1,378;0.219;0;3;21.52;152;129,044;0:05:05;2637;3.68
o6p51KtkmYM;👉 Cuánto ESPACIO OCUPA Corel DRAW ▶ DelcaVideography;May 13, 2021;4.35;46;2;0;26;0;;0;0;100;0;1;0;;0;2;1,438;0.102;0;1;63.83;57;0.8085;0:00:51;680;5.29
9Y7omimkljg;🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL | DelcaVideography;Jul 29, 2021;25;4;1;0;3;0;;0;0;;0;0;0;;0;0;2;0.01;0;0;37.92;5;0.3481;0:04:10;85;2.35
9lcfYNSQNO0;👉 PASOS para INGRESAR a Corel Draw ▶ DelcaVideography;Apr 29, 2021;1.32;76;1;0;64;0;;0;0;100;0;2;0;;0;1;0.825;0.101;0;0;54.75;137;5,209;0:02:16;1173;6.39
AfHnJNk6C30;💚 Tutorial  ▶ Herramienta SILUETA en CorelDRAW @DelcaX;Feb 14, 2023;2.7;37;1;0;7;0;;0;0;100;0;7;0;;0;0;1,103;0.136;0;0;33.76;132;144,225;0:06:33;3326;2.53
BwW5ar0rq6I;🌟 DESCUBRE cómo REEMPLAZAR COLORES de IMÁGENES (FÁCIL) en CorelDRAW 2021 ▶ DelcaVideography;Mar 25, 2021;2.94;34;1;0;70;0;;0;0;100;0;1;0;;0;0;1,014;0.073;0;1;50.79;74;34,241;0:02:46;667;5.7
IyIvsSRNGZk;💚 5 USOS para DOMINAR la HERRAMIENTA FORMA ✒ ▶ TUTORIAL CorelDRAW | DelcaVideography;Sep 6, 2022;5.26;19;1;;0;0;;0;0;;0;0;0;;0;0;0.706;0.012;0;0;75.8;17;11,311;0:03:59;321;3.74
JXVB85h99xk;💚 Tutorial  ▶ Herramienta SOMBRA en CorelDRAW @DelcaX;Feb 28, 2023;0.59;169;1;0;81;0;;0;0;100;0;72;0;;2;9;1,693;1,325;3;3;27.6;698;601,014;0:05:09;17440;2.31
PprG9YA6rFM;CÓMO DIVIDIR LA PANTALLA con vídeos | DelcaVideography;Aug 21, 2018;7.69;13;1;0;32;0;;0;0;100;0;1;0;;0;1;0.833;0.041;0;0;24.5;51;20,965;0:02:27;874;4
UBFqtV3LYRY;👉 Cuánto CUESTA 💲 CorelDRAW ▶ DelcaVideography;May 6, 2021;3.23;31;1;0;24;0;;0;0;;0;0;0;;0;0;0.122;0.006;0;0;65.18;49;0.9493;0:01:09;442;6.79
XDmzkfD6vJg;✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography;Feb 23, 2021;5.88;17;1;0;42;0;;0;0;100;0;1;0;;0;0;1,678;0.3;0;0;32.77;69;92,902;0:08:04;666;3.3
XjEE1s9X-Bc;Aprende a CREAR DISEÑOS INFINITOS en 3 PASOS con Corel DRAW DelcaVideography;Aug 13, 2019;4.17;24;1;0;62;0;;0;0;50;1;1;0;;0;0;1,817;0.145;0;0;42.77;82;7,598;0:05:33;756;8.2
Y1MPNvWxQNw;💚 Tutorial  ▶ Herramienta TRANSPARENCIA en CorelDRAW @DelcaX;Jan 31, 2023;3.33;30;1;0;12;0;;0;0;100;0;2;0;;0;0;0.956;0.056;0;0;51.63;49;41,669;0:05:06;1104;3.26
dDYz3dwnX0A;👉 Estas son las PRINCIPALES CARACTERÍSTICAS de Corel Draw ▶ DelcaVideography;Mar 2, 2021;0.5;199;1;0.6;168;1;0;4;0;100;0;1;0;;0;0;1,147;0.149;0;1;67.14;141;28,139;0:01:11;1064;8.27
gDyOAURjjrc;Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021);May 25, 2021;100;1;1;0;4;0;;0;0;100;0;1;0;;0;0;3,765;0.064;0;0;23.07;17;22,895;0:08:04;350;3.14
meElooZsN8o;✂️  Cómo RECORTAR IMÁGENES complejas en COREL DRAW ▶ DelcaVideography [*MUY FÁCIL* 😉];Sep 3, 2019;1;100;1;1.81;497;9;11.9;42;5;100;0;6;0;;0;4;1,488;0.874;0;5;34.81;576;447,195;0:04:39;3258;11.66
qb1g0l0s-8M;👉🏼 ASÍ puedes CREAR EFECTOS INCREÍBLES Y COMPLEJOS 😮 en CorelDRAW  ▶ TUTORIAL | DelcaVideography;May 31, 2022;2.27;44;1;0;45;0;0;3;0;100;0;5;0;;0;5;1,553;0.151;0;1;33.55;105;101,281;0:05:47;1479;4.8
u9m74mmnEh0;ARTE DIGITAL para PRINCIPIANTES en Corel DRAW | DelcaVideography;Mar 3, 2020;10;10;1;0;6;0;;0;0;;0;0;0;;0;2;0.857;0.02;0;1;35.49;25;2,561;0:06:08;303;3.3
uKd41FnPlhU;✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW | DelcaVideography;May 17, 2022;11.11;9;1;0;4;0;0;3;0;;0;0;0;;0;0;0.75;0.012;0;0;33.91;16;15,778;0:05:55;252;3.17
urCMc_IL9VU;12 NUEVAS funciones de Corel DRAW 2019 que DEBES SABER | DelcaVideography;Jul 23, 2019;14.29;7;1;0;29;0;;0;0;100;0;4;0;;0;1;3,759;0.205;0;0;22.53;64;64,648;0:06:03;1662;2.05
uzJhduFORZI;💧 Las MEJORES Técnicas para RENDERIZAR en CorelDRAW ▶ LOGO TUTORIAL | DelcaVideography;Aug 3, 2021;14.29;7;1;0;7;0;;0;0;;0;0;0;;0;0;0.692;0.01;0;0;39.45;14;0.7257;0:03:06;116;4.31
-4ZZZKJBdP4;(AVANZADO) TUTORIAL 23 Corel DRAW X7: LOGO 3D PROFESIONAL;Jul 16, 2015;;0;0;0;28;0;;0;0;100;0;1;0;;0;1;1,473;0.103;0;0;17.91;76;56,866;0:04:29;1719;1.92
-5PYYhPKDQ0;🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW | DelcaVideography;Sep 23, 2021;0;3;0;0;8;0;;0;0;;0;0;0;;0;0;1,333;0.008;0;0;72.48;4;0.608;0:09:07;151;2.65
-7bUAPgxpx8;🎞 TUTORIAL CREA UN INTRO O OUTRO EN SONY VEGAS PRO 🎞;Sep 20, 2016;;0;0;;0;0;;0;0;100;0;-1;0;;0;0;0.667;0.004;0;0;61.45;5;0.9013;0:10:48;67;5.97
 -FftNs-zJy4;🌟 CorelDRAW FAST Techniques for Beginners ▶ 3 MIN⏰ TUTORIAL OLYMPIC GAMES Logo | DelcaVideography;Aug 2, 2021;0;6;0;0;4;0;;0;0;100;0;1;0;;0;0;0.5;0.004;0;0;50.91;8;0.1991;0:01:29;193;2.59
 -klu27TmOyY;✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE ▶ DelcaVideography;Sep 16, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;7;0.014;0;0;12.11;2;0.0803;0:02:24;127;1.57
0DQX4yw1VHs;✅ Te Enseño a DISEÑAR LOGO Tipográfico con esta TÉCNICA 😮 en COREL DRAW [FÁCIL!!!];Feb 10, 2016;;0;0;0;4;0;;0;0;;0;0;0;;0;0;1.5;0.008;0;0;24.34;6;0.4966;0:04:57;203;1.48
0FB6f326MhU;✒️LOGOTYPE CONCEPT | MAZE Visual Studios COREL DRAW Tutorial | DelcaVideography;Jul 14, 2020;0;3;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;50.01;2;0.3184;0:09:33;84;1.19
0Hhq3OPWyLM;🔥 CorelDRAW ADVANCE Techniques for Beginners & Experts | LOGO TUTORIAL ▶ DelcaVideography;Aug 10, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;4.2;4;0.055;0:00:49;73;2.74
0Rb7hTLzhcw;(BÁSICO) TUTORIAL COREL DRAW X6, X7, X8: TRIÁNGULO 3D - ILUSIÓN ÓPTICA;Jan 10, 2017;0;6;0;0;7;0;;0;0;100;0;2;0;;0;0;0.4;0.022;0;0;24.39;22;17,962;0:04:53;336;2.08
0ZNtr90_roU;☄ Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW  | DelcaVideography;Aug 19, 2021;;0;0;0;3;0;;0;0;;0;0;0;;0;1;2,667;0.008;0;0;28.11;4;0.109;0:01:38;129;2.33
0slsGhZDC1Q;🏃🏼‍♂️🚴🏼‍♂️Construye ASÍ DISEÑO de LOGOS | DelcaVideography ▶ Short;Feb 26, 2022;;0;0;;0;0;;0;0;100;0;1;58;46.55;0;0;0.036;0.001;0;0;59.42;30;0.1931;0:00:23;803;1.99
18thFucluho;(INTERMEDIO) DISEÑO DE MANDALAS TUTORIAL COREL DRAW X4, X5, X6 ,X7 y X8;Mar 15, 2016;;0;0;0;27;0;;0;0;100;0;-1;0;;0;0;1,238;0.056;0;1;20.47;25;25,518;0:06:07;414;3.86
1M4Smk6qqDQ;(BÁSICO) TUTORIAL 9 COREL DRAW X7: DISEÑANDO FLECHAS 3D;Nov 11, 2015;;0;0;0;5;0;;0;0;100;0;1;0;;0;0;0.4;0.002;0;1;39.07;5;0.6077;0:07:17;198;1.52
1PW1vssFdXg;EFECTO CALEIDOSCOPIO EN VEGAS PRO | DelcaVideography;Nov 13, 2018;;0;0;0;2;0;;0;0;;0;0;0;;0;0;0;0.004;0;0;18.37;11;0.4714;0:02:34;64;7.81
1WflrST7JBI;🎧🔊 Te MUESTRO CÓMO INSTALÉ las Espumas Acústicas en mi ESTUDIO ⚡ | DelcaVideography;Apr 21, 2022;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;30.4;1;0.0272;0:01:37;65;1.54
1ZN1Y0ItkDE;🌟 CONOCE el Nuevo DIBUJO en PERSPECTIVA de CorelDRAW 2021 ▶ DelcaVideography;Mar 16, 2021;0;9;0;0;20;0;;0;0;100;0;1;0;;0;0;0.594;0.029;0;0;38.98;35;20,199;0:03:27;488;4.51
2-Ti61NuA0E;🦎 LOGO CONCEPTUAL [PASO a PASO y desde CERO ✍🏼] en Adobe ILLUSTRATOR ► DelcaVideograhy [*BRUTAL 😲*];Sep 8, 2020;0;3;0;0;2;0;;0;0;;0;0;0;;0;0;0;0;0;0;39.66;3;0.1339;0:02:40;95;1.05
2GXmgcRp0Pk;5 EFECTOS ESPECIALES DE SUPERPOSICIÓN QUE DEBES APRENDER en Vegas Pro | DelcaVideography;Nov 20, 2018;;0;0;0;15;0;;0;0;;0;0;0;;0;0;0.364;0.009;0;0;24.13;15;0.4795;0:01:55;181;2.76
2UmUQfz4E5Y;🎃 Diseña tu LOGO para HALLOWEEN en Corel Draw | DelcaVideography 🕸;Oct 16, 2018;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.167;0.001;0;0;24.48;7;0.3046;0:02:36;179;2.79
2cezrwygTTs;CÓMO AÑADIR SUBTÍTULOS A UN VIDEOCLIP: TUTORIAL SONY VEGAS PRO 11, 12 Y 13;Jun 4, 2015;;0;0;0;9;0;;0;0;100;0;1;0;;0;0;0.533;0.011;0;1;19.79;16;0.9075;0:03:24;256;1.95
2mvp-QaLOT4;Cómo hacer El Efecto TRAP en Vegas Pro | DelcaVideography;May 22, 2018;;0;0;0;3;0;;0;0;;1;-1;0;;0;0;0;0;0;0;15.83;2;0.0861;0:02:34;34;0
34oSrvGeogo;✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL |DelcaVideography;Apr 5, 2022;;0;0;0;7;0;;0;0;;0;0;0;;0;0;0.727;0.008;0;0;42.1;11;0.858;0:04:40;165;2.42
3F4NMowLEb0;(INTERMEDIO) TUTORIAL 11 CorelDRAW X6, X7 en Español: LOGO COPA AMÉRICA CHILE 2015;May 14, 2015;;0;0;0;5;0;;0;0;;0;0;0;;0;0;0;0;0;0;99.97;1;0.4884;0:29:18;69;0
3Q9OOn1GXQc;DISEÑO GEOMÉTRICO FUTURISTA en @CorelDRAWchannel  TUTORIAL | DelcaVideography;Mar 17, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;1;0.001;0;0;7.26;1;0.0297;0:01:46;112;0.89
3UjHDheSc2o;AVENGERS | Cómo crear las Gemas del Infinito | TUTORIAL COREL DRAW;Apr 24, 2018;;0;0;0;2;0;;0;0;100;0;1;0;;0;0;2.25;0.009;0;0;40.11;4;0.4368;0:06:33;129;0.78
3vHueTaZ__4;(INTERMEDIO) TUTORIAL 9 CorelDRAW X7: LOGO + EFECTO 3D;Aug 10, 2014;;0;0;;0;0;;0;0;100;0;1;0;;0;0;0;0;0;0;44.98;3;0.349;0:06:58;152;1.32
48x1yMiRKTE;Phantom 2 GoPro Hero 3 First Flight;May 20, 2014;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;3.68;1;0.0041;0:00:14;8;12.5
4AqdI-t6S9c;⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW | DelcaVideography;Jun 28, 2022;;0;0;;0;0;;0;0;100;0;-1;0;;0;0;0;0.001;0;0;4.51;4;0.0684;0:01:01;139;2.88
4QfQjGVMUqA;⚡ HAZLO SIMPLE [Diseño de LOGOS] ▶ Short | DelcaVideography;Jun 23, 2022;0;2;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;56.52;4;0.0446;0:00:40;82;2.44
4UmXw86JvzU;🚀 LITTLE MONSTER SPEEDRUN TUTORIAL in COREL DRAW | DelcaVideography;Dec 10, 2019;0;9;0;0;14;0;;0;0;;0;0;0;;0;0;8,833;0.054;0;0;61.05;8;0.8493;0:06:22;62;4.84
4aIJmmpUBjY;♥️ Nuevo LOGO + nuevo Tutorial👏 》 LoveSick | DelcaVideography;Oct 1, 2021;;0;0;;0;0;;0;0;;0;0;1;0;0;0;;0;0;0;;0;0;;58;0
4fvtc51Tn3c;Cómo CREAR video ANIMACIONES en Vegas Pro | DelcaVideography;Nov 19, 2019;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.235;0.004;0;0;13.3;21;10,455;0:02:59;114;9.65
4oAC_IUKdss;✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Dec 2, 2021;;0;0;0;3;0;;0;0;;0;0;0;;0;0;6;0.046;0;0;39.79;10;0.7272;0:04:21;239;4.18
4q2V-AY2EYo;🤯 Nueva SERIE en DelcaVideography ▶ LOGOS EXPRESS ›› Parte 1 ‹‹ SHORTS;Jul 30, 2021;;0;0;;0;0;;0;0;;0;0;1;100;0;0;0;0;0;0;19.83;1;0.0033;0:00:11;21;0
4vw6b1iTE3I;Cómo crear una Composición en Corel DRAW | DelcaVideography;May 29, 2018;0;8;0;0;9;0;;0;0;100;0;1;0;;0;1;1,111;0.031;0;0;31.6;22;16,378;0:04:28;239;4.18
5i5xOm8DyII;⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL ▶ DelcaVideography;Sep 7, 2021;0;3;0;;0;0;;0;0;100;0;2;0;;0;0;0.8;0.006;0;0;37.8;6;0.7076;0:07:04;181;2.76
5lzcNprr2R8;⭐ 7 TIPS INDISPENSABLES para DISEÑAR en CorelDRAW ▶ TUTORIAL | DelcaVideography;Aug 16, 2022;0;9;0;0;6;0;;0;0;;0;0;0;;0;0;0.588;0.01;0;0;34.8;17;22,171;0:07:49;263;2.66
5tssegaC3Z8;(INTERMEDIO) LOGO NEÓN COREL DRAW X7 X8 TUTORIAL;Sep 27, 2016;;0;0;0;2;0;;0;0;100;0;1;0;;0;0;5.8;0.034;0;0;26.71;8;0.5395;0:04:02;174;3.45
5x6LzuCMofo;💔 BROKEN HEART 💔 LOGO TUTORIAL COREL DRAW (BÁSICO);Jul 18, 2017;0;9;0;0;32;0;;0;0;;0;0;0;;0;0;0.286;0.004;0;0;58.45;15;19,191;0:07:40;143;1.4
64COMqKhPds;🐱‍👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW | DelcaVideography;Oct 28, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0.001;0;0;11.95;5;0.0851;0:01:01;103;1.94
67Ta2UltQK0;😜 Te enseño el BORRADOR de un archivo de CorelDRAW | DelcaVideography;Sep 21, 2021;;0;0;;0;0;;0;0;100;0;1;31;51.61;0;0;0;0;0;2;41.71;17;0.1162;0:00:24;459;1.96
6LsMgi-fDZQ;⚡️ 5 EFECTOS CINEMÁTICOS ESENCIALES (HITFILM): TUTORIAL VEGAS PRO ʜᴅ;Oct 10, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.111;0.001;0;0;12.27;12;0.2474;0:01:14;138;4.35
6Qel8vI6_ag;✅  Cómo hacer MOTION GRAPHIC ANIMATION en VEGAS PRO ► INTRO para tus VÍDEOS 🤟🏼DelcaVideography;Jan 29, 2019;0;8;0;0;64;0;;0;0;-100;-2;1;0;;1;3;1,485;0.298;0;2;12.58;219;102,966;0:02:49;3892;4.24
6jotSuqAjHc;CREA UNA INTRO Profesional: SONY VEGAS PRO 10, 11, 12, 13;Feb 5, 2015;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.25;0.002;0;0;2.76;8;0.1305;0:00:58;133;2.26
6my2PObwnlY;⚡ DIBUJAR en CorelDRAW ▶ Short | DelcaVideography;Jul 9, 2022;0;2;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;31.13;1;0.0061;0:00:22;88;1.14
6naaK-WHF2M;🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW | DelcaVideography;Nov 2, 2021;0;12;0;0;27;0;;0;0;100;0;1;0;;0;0;1,292;0.031;0;0;39.04;25;19,305;0:04:37;321;6.23
6uIbRw4d6T4;Cómo aplicar CÁMARA LENTA a tus vídeos en Vegas Pro (SLOW MOTION) | DelcaVideography;Jul 10, 2018;0;12;0;0;40;0;;0;0;100;0;1;0;;0;0;0.578;0.049;0;0;19.76;88;35,977;0:02:27;572;12.76
6yA8gjsJws4;✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW | DelcaVideography;Dec 9, 2021;0;62;0;0;90;0;;0;0;100;0;1;0;;1;0;1,843;0.338;0;0;34.58;200;124,094;0:03:43;1665;4.2
7600RPZDWbU;STAR WARS Lucasfilm INTRO tutorial - Vegas Pro | DelcaVideography;May 28, 2019;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.154;0.004;0;0;10.29;15;0.4558;0:01:49;112;10.71
7HXsIyciyG0;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL | DelcaVideography;Nov 17, 2021;0;9;0;0;13;0;;0;0;;0;0;0;;0;0;2,077;0.027;0;0;26.38;14;0.5591;0:02:23;135;5.93
7nF_xuJXP2Y;CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶ DelcaVideography;Sep 2, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;1.31;1;0.0015;0:00:05;103;0
7zv_dRp9GRQ;💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial | DelcaVideography;Jul 21, 2021;0;6;0;;0;0;;0;0;;0;0;0;;0;0;5,375;0.043;0;0;30.71;8;0.3856;0:02:53;92;7.61
82820PmkxKE;LOGO ÁRBOL NEÓN / NEON TREE TUTORIAL: COREL DRAW 🌴;Dec 4, 2017;;0;0;0;5;0;;0;0;;0;0;0;;0;0;0.5;0.004;0;0;8.35;10;0.3883;0:02:19;219;3.2
87G3DTYx9zU;(AVANZADO) 💥 SUNFLAME PROFESIONAL LOGO TUTORIAL: COREL DRAW;May 2, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0;0;0;0;50.02;2;0.2854;0:08:33;46;4.35
8Kjxeq20oKs;💚 Esta Es TODA La LISTA De FORMAS BÁSICAS en CorelDRAW  @DelcaX;Dec 6, 2022;;0;0;;0;0;;0;0;;0;0;2;50;0;0;0;0;0;0;76.32;2;0.0225;0:00:40;121;0.83
8L6ahg2eHBc;🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW | DelcaVideography;Sep 21, 2021;0;3;0;;0;0;;0;0;;0;0;0;;0;0;0.5;0.001;0;0;75.08;2;0.1748;0:05:14;123;0.81
8NdzbkCYcwo;🤘🏼 LOGO MAPACHE WIFI #shorts  ▶ Tutorial CorelDRAW | @DelcaX;Sep 24, 2022;;0;0;;0;0;;0;0;;;;0;;;;;0;;;;0;0;;115;0
8XII3TlbnjM;NEUMORFISMO | NUEVA TENDENCIA DE DISEÑO | Adobe Illustrator TUTORIAL | DelcaVideography;Apr 7, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;3;0.006;0;0;52.19;3;0.4684;0:09:22;68;2.94
8ZKIBOf72I0;🌟 Conoce la Nueva COLABORACIÓN de TRABAJO REMOTO en CorelDRAW 2021 ▶ DelcaVideography;Apr 6, 2021;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.333;0.002;0;0;33.1;6;0.1832;0:01:49;240;0.83
8_ScePbIx9A;MARVEL THE AVENGERS | How to create the WIPE OUT EFFECT | DelcaVideography;Apr 9, 2019;0;4;0;0;5;0;;0;0;;0;0;0;;0;0;4.4;0.022;0;0;20.45;5;0.2969;0:03:33;41;2.44
8iGjHpBpxQ4;(INTERMEDIO) ASUS LOGO COREL DRAW TUTORIAL;Apr 18, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.2;0.001;0;0;21.2;5;0.6008;0:07:12;114;1.75
8lb0Vv7w5BU;🔴 Cómo funciona la PERSPECTIVA de 1 punto de fuga ▷ Tutorial CorelDRAW 2021;Apr 25, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;1.5;0.006;0;0;9.47;4;0.0423;0:00:38;109;1.83
8okxEyrHamU;Te muestro Cómo Crear este LOGOTIPO 🏋🏼‍♂️ [ORIGINAL⚡ ] Paso a Paso (FÁCIL!!!) ▶ Corel DRAW;Apr 19, 2016;;0;0;0;4;0;;0;0;100;0;1;0;;0;0;0;0;0;0;29.14;3;0.2586;0:05:10;70;2.86
