Contenido;T√≠tulo del v√≠deo;Hora de publicaci√≥n del v√≠deo;Clics por elemento de pantalla final mostrado (%);Elementos de pantalla final mostrados;Clics en elementos de pantalla final;Clics en teaser por teaser de tarjeta mostrado (%);Teasers de tarjeta mostrados;Clics en teaser de tarjeta;Clics por tarjeta mostrada (%);Tarjetas mostradas;Clics en tarjetas;Me gusta (vs. No me gusta) (%);No me gusta;Me gusta;Mostrado en el feed;Vistos (frente a saltados) (%);Comentarios a√±adidos;Compartido;RPM (USD);Ingresos estimados (USD);Suscriptores perdidos;Suscriptores ganados;Porcentaje medio visto (%);Visualizaciones;Tiempo de visualizaci√≥n (horas);Duraci√≥n media de las visualizaciones;Impresiones;Porcentaje de clics de las impresiones (%)
9DTxDa4rvUA;❎ La MEJOR GUÍA para CREAR el LOGO de XBOX [*PASO a PASO* 🎮] ▶ Corel DRAW;Oct 11, 2016;;0;0;;0;0;;0;0;;0;0;0;;0;0;2,556;0.023;0;0;8.79;10;0.3661;0:02:11;165;1.21
9ECLhtcc-PI;CÓMO CREAR UNA COMPOSICIÓN CON TEXTO EN COREL DRAW | DelcaVideography;Jan 15, 2019;;0;0;0;16;0;;0;0;100;0;1;0;;0;0;0.935;0.03;0;1;24.36;34;20,246;0:03:34;541;2.03
9OONS6UnE8E;🤔 USA esta forma para CREAR DISEÑOS | DelcaVideography;Mar 25, 2022;;0;0;;0;0;;0;0;100;0;4;115;63.48;0;0;0.015;0.001;0;0;68.29;76;0.4469;0:00:21;1475;2.03
9Q3eATf-3bM;🔴 Tutorial PERSPECTIVA de 3 puntos de fuga (vista de GUSANO 🐛) ▷ CorelDRAW 2021;Apr 15, 2021;;0;0;0;4;0;;0;0;;0;0;0;;0;1;0.2;0.001;0;1;38.04;6;0.1857;0:01:51;102;2.94
9SKCAwbvsFI;⭐ Usa la HERRAMIENTA ORIGEN para OPTIMIZAR tu FLUJO de TRABAJO ▶ CorelDRAW | DelcaVideography;Aug 23, 2022;;0;0;;0;0;;0;0;100;0;1;0;;0;2;2.25;0.02;0;0;10.49;9;0.2633;0:01:45;231;1.3
9TqoaxoutJA;✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Mar 31, 2022;0;6;0;0;4;0;;0;0;100;0;1;0;;0;2;1,444;0.018;0;1;56.97;10;15,747;0:09:26;163;4.91
9oL6IgrDyvI;LOGO DRAGON BALL Z: (AVANZADO) TUTORIAL 22 Corel DRAW X7, X6, X5 y X4;Jun 28, 2015;;0;0;;0;0;;0;0;;0;0;0;;0;0;2,917;0.035;0;0;7.75;13;0.3818;0:01:45;160;2.5
A3EcbAtfA2Q;How to create a 3D figure in Corel DRAW | DelcaVideography;Mar 19, 2019;;0;0;0;11;0;;0;0;;0;0;0;;0;0;1,211;0.023;0;0;12.13;22;12,114;0:03:18;309;1.94
AgO_4uG4PEs;KAME HAME HA EFFECT PHOTOSHOP TUTORIAL;May 3, 2016;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.25;0.001;0;0;15.09;6;0.3138;0:03:08;68;4.41
Am9vL-IMsm8;🔌 Descubre cómo CREAR este LOGOTIPO [PASO a PASO y desde CERO ✍🏼] Corel DRAW ► DelcaVideography ▶️;Jun 30, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;3;0.015;0;0;12.9;5;0.2434;0:02:55;137;2.19
B9u1hnjBZLI;(BASIC) TUTORIAL 1 CorelDRAW X7 BASIC STEPS FOR BEGINNERS ENGLISH;Sep 4, 2015;;0;0;0;6;0;;0;0;;0;0;0;;1;0;0.967;0.215;0;0;14.4;32;12,828;0:02:24;176;2.84
BHSm-5DJj84;Sistema de transporte Metropolitano EMT Valencia;Dec 22, 2011;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;70.42;4;0.1056;0:01:35;78;5.13
BN-YwXmzfOk;(AVANZADO) TUTORIAL 30 COREL DRAW X7: LOGO 3D PROFESIONAL (ROYALE);Jul 23, 2015;;0;0;0;27;0;;0;0;100;0;2;0;;0;0;1,511;0.071;0;0;17.89;47;27,357;0:03:29;756;4.37
BQniSD1h1VA;👉🏼 Conoce las VENTAJAS 💚 & DESVENTAJAS 💔 de Corel Draw ▶ DelcaVideography;Apr 26, 2021;0;88;0;0;104;0;;0;0;100;0;1;0;;0;0;1.5;0.112;0;0;59.04;78;43,879;0:03:22;1390;3.24
BSPoVGqkK6g;✅ Con esta PÁGINA puedes GRABAR tu PANTALLA y EDITAR tus videos ONLINE y GRATIS |  DelcaVideography;Nov 3, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;0.41;1;0.0007;0:00:02;23;0
BYDG8b0_Njg;Reemplazo de COLOR FÁCIL - YOUTUBE SHORT ► DelcaVideography;Jul 21, 2021;;0;0;;0;0;;0;0;;0;0;1;100;0;0;0;0;0;0;49.66;1;0.008;0:00:28;8;0
Bca1yoEj0H8;Cómo crear escena de Acción en Vegas PRO: Esquivando balas en cámara lenta;Apr 17, 2018;;0;0;;0;0;;0;0;;;;0;;;;;0;;;0.12;1;0.0007;0:00:02;33;0
Bq3e_sM1QlA;😁 DEBES PROBAR este EDITOR de VIDEOS Online GRATUITO | DelcaVideography;Oct 27, 2020;;0;0;0;1;0;;0;0;100;0;1;0;;0;0;0.083;0.001;0;0;4.67;16;0.3243;0:01:12;43;4.65
BrlvJg3WHvA;INTRO MARVEL ANIMACIÓN TUTORIAL: SONY VEGAS PRO  11, 12 y 13;Jun 10, 2015;;0;0;0;27;0;;0;0;;0;0;0;;0;1;1,189;0.066;0;0;16.36;59;25,117;0:02:33;734;5.04
C5OH-NThpmo;🎵 Cómo CREAR EFECTOS & ANIMACIONES INCREÍBLES 🤩 para VIDEOS MUSICALES ► Sony VEGAS PRO 😎;Oct 15, 2019;0;12;0;0;96;0;;0;0;100;0;7;0;;0;1;1,038;0.35;0;6;15.27;349;18,503;0:03:10;5010;4.83
C84BOPSTqwU;APRENDE a CREAR (*PASO a PASO ⚡) este LOGO PROFESIONAL en Corel DRAW [FÁCIL & Bien Explicado!!! 🔥];Jun 21, 2016;;0;0;0;5;0;;0;0;;0;0;0;;0;0;1,333;0.004;0;0;28.02;3;0.3526;0:07:03;164;1.83
C9jBrGCi2LE;🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW | DelcaVideography;Mar 3, 2022;0;3;0;0;7;0;;0;0;;0;0;0;;0;0;0;0;0;0;36.93;4;0.5051;0:07:34;129;1.55
CJ_KQxr4OpQ;💡 Los mejores trucos y consejos para diseñar logos vectoriales profesionales 💪 @DelcaX;Jan 7, 2023;;0;0;;0;0;;0;0;;0;0;37;78.38;0;0;0;0;0;0;60.72;31;0.3137;0:00:36;695;2.16
CiBsoRP3z_w;DIY Cómo diseñar tu propio PAPEL TAPIZ/WALLPAPER en Corel DRAW | DelcaVideography;May 21, 2019;;0;0;0;2;0;;0;0;;0;0;0;;0;0;0.611;0.011;0;0;26.65;21;14,193;0:04:03;164;4.27
CmV811Q-oZw;☁️ EFECTO NUBE DE PENSAMIENTO ANIMADA en Vegas Pro | DelcaVideography ☁️;Nov 27, 2018;;0;0;;0;0;;0;0;;0;0;0;;0;0;1,667;0.015;0;0;11.24;10;0.2242;0:01:20;77;3.9
CoRu0b3xQjA;🎇 COMBINA estas TÉCNICAS para *CREAR LOGOS INCREÍBLES* en CorelDRAW | DelcaVideography;Oct 14, 2021;0;6;0;0;5;0;;0;0;;0;0;0;;0;0;1,429;0.011;0;0;19.39;10;0.5277;0:03:09;184;4.35
DLTqKCnoXgs;🎞 ANIMA Imágenes PUBLICITARIAS desde CASA con VEGAS PRO | DelcaVideography;Apr 21, 2020;;0;0;0;2;0;;0;0;;0;0;0;;0;0;1,238;0.03;0;0;19.61;23;16,912;0:04:24;370;4.86
DTghfyfXNoQ;⚡ Contrucción de LOGOS PASO a PASO en CorelDRAW ▶ SHORTS | DelcaVideography;Apr 14, 2022;;0;0;;0;0;;0;0;;0;0;23;65.22;0;0;0;0;0;0;75.42;15;0.1634;0:00:39;549;1.28
DWmNpU8Amco;🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱| DelcaVideography;Jan 20, 2022;0;17;0;0;20;0;0;3;0;;0;0;0;;0;0;1,741;0.047;0;0;52.2;28;40,887;0:08:45;463;4.97
DZSJcMCthRM;✔👍 15 Nuevos TRUCOS de VEGAS PRO que DEBES SABER [*PARTE 2*] ► DelcaVideography;Sep 19, 2017;0;24;0;0;43;0;;0;0;;0;0;0;;0;0;1,242;0.041;0;0;44.85;36;34,174;0:05:41;573;4.19
Do2AMCc7TaM;🌊 Crea [PASO a PASO y desde CERO ✍🏼] este INCREÍBLE LOGOTIPO en Corel DRAW | DelcaVideography;Nov 18, 2020;;0;0;0;4;0;;0;0;;0;0;0;;0;0;1;0.012;0;0;13.93;15;11,797;0:04:43;343;2.04
DpuEqUy3IsQ;⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL | DelcaVideography;Feb 8, 2022;;0;0;;0;0;;0;0;100;0;1;0;;0;0;0.875;0.011;0;1;23.83;9;0.4302;0:02:52;173;4.05
E2NgvYy16J0;🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL | DelcaVideography;Aug 12, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;8.35;1;0.0116;0:00:41;79;1.27
E6A6CB0_ddM;🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL | DelcaVideograhy;Nov 4, 2021;0;8;0;0;9;0;;0;0;100;0;1;0;;0;0;2,375;0.038;0;1;25.24;17;0.8797;0:03:06;172;4.65
ERa04nuf9lo;Cómo ROMPER el ESCUDO del CAPITÁN AMÉRICA en Corel DRAW | DelcaVideography;May 6, 2019;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.5;0.001;0;0;4.06;3;0.0237;0:00:28;100;3
E_i_qR73Q9g;🏃🏼‍♂️🚴🏼‍♂️ Creación de DISEÑO CREATIVO de LOGOS | DelcaVideography ▶ Short;Feb 28, 2022;;0;0;;0;0;;0;0;;0;0;2;50;0;0;0;0;0;0;76.34;2;0.0131;0:00:23;106;0
EetpcWHa3QM;⭐ HERRAMIENTAS CLAVE para DISEÑAR  ▶ Short | DelcaVideography;Aug 7, 2022;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.5;0.001;0;0;22.15;2;0.0089;0:00:15;96;1.04
EncVwqu2W6E;✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Feb 10, 2022;;0;0;;0;0;;0;0;;0;0;0;;0;0;1.5;0.003;0;0;7.05;2;0.0395;0:01:11;181;1.1
EnxrHicdECg;⭐ Haz tus DISEÑOS con PROPORCIÓN ÁUERA ▶ Tutorial CorelDRAW | DelcaVideography;Oct 4, 2022;0;6;0;0;2;0;;0;0;;0;0;0;;0;0;0.714;0.005;0;0;29.11;7;0.3707;0:03:10;221;1.81
EtG6UdyZmPE;🌌 APRENDE a Crear ANILLO 3D [PASO a PASO y desde CERO ✍🏼] Adobe ILLUSTRATOR ► DelcaVideography;Sep 22, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;11.62;7;0.0904;0:00:46;75;2.67
EyXoJv2ZJj4;⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯;Jun 29, 2021;;0;0;0;2;0;;0;0;;0;0;0;;0;0;0;0;0;0;17.76;2;0.0406;0:01:13;86;1.16
F0dWekSrPIY;TUTORIAL: HOW TO CREATE MAGIC TEXT in Corel DRAW | DelcaVideography;Apr 2, 2019;0;4;0;0;7;0;;0;0;;0;0;0;;0;0;2,125;0.02;0;0;32.84;16;12,961;0:04:51;320;3.13
F3ramEZDKl8;CÓMO AÑADIR TEXTO A CUALQUIER COSA: TUTORIAL PHOTOSHOP para principiantes;Apr 15, 2015;;0;0;0;1;0;;0;0;;0;0;0;;0;0;1,333;0.016;0;0;49.01;12;13,217;0:06:36;114;3.51
FC8Ys6hqa2c;🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW | DelcaVideography;Jan 25, 2022;0;23;0;3.33;30;1;0;3;0;100;0;4;0;;1;2;1,643;0.171;0;1;29.12;107;127,409;0:07:08;1711;4.44
FH_mrkzDz5g;🤘🏼 APRENDE a Diseñar LOGOS como este FÁCILMENTE ▶ Tutorial CorelDRAW | DelcaVideography;Sep 20, 2022;0;12;0;0;2;0;;0;0;100;0;-1;0;;0;0;0.556;0.006;0;0;30.55;12;0.4592;0:02:17;286;4.2
FYS3pPudW10;😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶ | DelcaVideography;Feb 22, 2022;;0;0;0;4;0;;0;0;;0;0;0;;0;0;0.95;0.021;0;0;20.22;25;0.6514;0:01:33;123;8.94
FbvyinTHFhc;⌘ INFINITY LOOP LOGO: TUTORIAL COREL DRAW 🥨;Dec 12, 2017;;0;0;0;3;0;;0;0;;0;0;0;;0;0;1,875;0.015;0;0;13.86;8;0.5689;0:04:16;218;2.29
FhNdnP77p4M;✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW | DelcaVideography;Feb 24, 2022;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;2.2;1;0.0091;0:00:32;179;0.56
Fr9VZumHykY;⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Aug 30, 2022;0;3;0;0;3;0;;0;0;100;0;1;0;;0;0;0.091;0.001;0;0;21.43;11;0.6843;0:03:43;178;2.81
G-NeLq9imRo;[🪀 Tutorial Práctico] ▶ APRENDE el PODER del CHROMA KEY + VEGAS [CASERO & BÁSICO 😀] DelcaVideography;Oct 20, 2020;;0;0;0;2;0;0;4;0;;0;0;0;;0;0;0.143;0.001;0;0;23.37;8;0.4829;0:03:37;104;3.85
G86bJJ4eEqY;📷 TODO LO QUE NECESITAS SABER PARA USAR TU GOPRO 📷;May 23, 2017;;0;0;0;3;0;;0;0;;0;0;0;;0;0;3,286;0.023;0;0;23.87;7;0.5329;0:04:34;28;7.14
GPQoB_lClDA;✅ Te enseño los SECRETOS 🔮 para DISEÑAR un LOGO para ▶ PRINCIPIANTES [2021];May 2, 2015;;0;0;0;12;0;;0;0;;0;0;0;;0;0;0.882;0.016;0;0;17.16;20;10,743;0:03:13;123;1.63
GuGi6v3zUa0;🌟 DESCUBRE el Nuevo MULTIPÁGINA de CorelDRAW 2021 ▶ DelcaVideography;Mar 18, 2021;0;17;0;0;19;0;;0;0;100;0;1;0;;0;0;5.25;0.063;0;0;61.59;14;0.6371;0:02:43;287;2.09
GvWl6xRiLlA;💪🏼 Técnicas para CREAR Logos Pro | Short ▶ DelcaVideography;Jun 16, 2022;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;47.54;2;0.0187;0:00:33;80;1.25
GvsRcuPy0bs;🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL | DelcaVideography;Apr 19, 2022;0;8;0;0;4;0;;0;0;;0;0;0;;0;0;0.636;0.007;0;0;27.92;11;0.866;0:04:43;250;3.2
GxEo1VnicN4;😲 Herramienta Origen  ▶ Short | DelcaVideography;Aug 27, 2022;0;2;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;116;2;0.0432;0:01:17;108;1.85
HHSy69q1AhQ;💚 Las 5 Opciones De La Herramienta COTAS en CorelDRAW @DelcaX​;Jan 24, 2023;0;12;0;;0;0;;0;0;;0;0;0;;0;0;1,722;0.069;0;0;44.03;21;17,363;0:04:57;827;2.18
H_QtdVBIk5k;♨︎ CREA Diseño [PASO a PASO y desde CERO ✍🏼] de LOGOTIPO en Corel DRAW ► DelcaVideography;Nov 10, 2020;0;6;0;0;6;0;;0;0;;0;0;0;;0;0;0.2;0.003;0;0;42.12;16;24,185;0:09:04;217;1.84
I-YqZeUnnDc;📽 10 ACCESORIOS QUE DEBES TENER PARA TU ESTUDIO AUDIOVISUAL;Nov 21, 2017;;0;0;;0;0;;0;0;;0;0;0;;0;0;3.5;0.007;0;0;6.22;2;0.0526;0:01:34;31;6.45
IGZB-kIGE6I;🚴🏼‍♂️🏃🏼‍♂️ Proceso CONSTUCTIVO de LOGOS ✔ | SHORTS ▶ DelcaVideograhy;Mar 12, 2022;;0;0;;0;0;;0;0;;0;0;4;25;0;0;0;0;0;0;18.94;2;0.0049;0:00:08;41;0
IQvhkpTmMEg;🎞RASTREO DE MOVIMIENTO: BCC MATCH MOVE FX - SONY VEGAS PRO TUTORIAL🎞;Mar 7, 2017;;0;0;0;2;0;;0;0;100;0;1;0;;0;2;0.625;0.005;0;0;8.68;13;0.3776;0:01:44;260;3.85
IVXlo92YC_8;YO ME QUEDO EN CASA - todos por una buena causa | DelcaVideography;Mar 24, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;38.94;3;0.036;0:00:43;74;1.35
IW3avpiW1HI;(INTERMEDIO) TUTORIAL 17 Corel DRAW X6, X7: DISEÑO VERSÁTIL - CÓMO CREAR DISEÑOS FÁCILES;Sep 27, 2014;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.667;0.004;0;0;32.94;6;1,244;0:12:26;73;1.37
I_NAZb6LYKM;🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼 DelcaVideography;Jul 8, 2021;0;3;0;0;2;0;;0;0;;0;0;0;;0;0;0.2;0.001;0;0;39.66;6;0.2472;0:02:28;102;2.94
IemB2i8vIT8;✅ DESCUBRE Cómo CREAR este LOGO 3D en Corel DRAW (usando esta TÉCNICA 🧐) [NO TE LO PIERDAS❗❗❗];Sep 25, 2015;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.2;0.001;0;0;27.78;5;0.3747;0:04:29;168;1.79
IkpebCX5WrA;⚽️ LOGO LALIGA paso a paso en COREL DRAW | Delcavideography;Feb 11, 2020;0;9;0;;0;0;;0;0;;0;0;0;;0;0;1,471;0.025;0;0;38.97;18;22,389;0:07:27;287;2.79
IseB9VCLPfI;🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks | DelcaVideography;Oct 8, 2021;0;3;0;0;1;0;;0;0;;0;0;0;;0;0;0.286;0.003;0;0;41.23;9;0.4958;0:03:18;119;4.2
J07jMdgZuv8;Cómo ANIMAR una FOTO en Photoshop - Efecto PARALLAX | DelcaVideography;May 1, 2018;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.6;0.006;0;0;5.81;10;0.1611;0:00:58;105;2.86
J5MFnp02GGY;TIPS DE DISEÑO: GALERÍA ILIMITADA DE RECURSOS GRÁFICOS PARA PROYECTOS;Dec 2, 2015;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0.5;0.001;0;0;12.5;3;0.0729;0:01:27;85;1.18
JHx1upzoyV4;🖼 Cómo crear 4 PIEZAS PUBLICITARIAS en 10 MINUTOS TUTORIAL | DelcaVideography;Apr 14, 2020;;0;0;0;26;0;;0;0;;0;0;0;;0;1;1,647;0.028;0;0;26.69;17;1,273;0:04:29;101;4.95
JPAxr6tKGgo;🕷Best LOGO IDEAS Tutorial | LOGO DESIGN | ADOBE ILLUSTRATOR | DelcaVideograhy | SPIDERASITE 🕸;Sep 15, 2020;;0;0;0;2;0;;0;0;;0;0;0;;0;0;0;0;0;0;38.48;2;0.0588;0:01:45;35;0
JT55WYIIhko;📌 Learn the CorelDRAW BEST Techniques for LOGO Design | DelcaVideography;Aug 24, 2021;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;1.37;1;0.0036;0:00:12;70;1.43
JU78VLocZhU;💚 Aquí están TODA la LISTA de FORMAS BÁSICAS en CorelDRAW @DelcaX;Dec 6, 2022;0;9;0;;0;0;;0;0;;0;0;0;;0;0;0.462;0.006;0;0;42.47;14;0.2643;0:01:07;418;3.11
JYPLfM9A4Ok;NINTENDO SWITCH INTRO Tutorial VEGAS PRO | DelcaVideography;Sep 17, 2019;;0;0;0;1;0;;0;0;;0;0;0;;0;0;0;0;0;0;11.47;9;0.331;0:02:12;58;3.45
JhJoXsMyWgQ;Configurar PLANTILLA para PORTADA de FACEBOOK en Corel DRAW | DelcaVideography;Oct 29, 2019;0;6;0;0;15;0;;0;0;;0;0;0;;0;0;0.727;0.008;0;0;26.06;12;0.4848;0:02:25;161;3.73
Jrnyzrfw1y8;DISEÑANDO UN LOGO EN VIVO ADIDAS CLASSIC: TUTORIAL COREL DRAW;Dec 19, 2017;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.444;0.006;0;0;10.91;9;0.9695;0:06:27;119;2.52
K08R2VIr8uY;🌟 Ahora puedes EXPORTAR VARIAS IMÁGENES en un PASO con CorelDRAW 2021 ▶ DelcaVideography;Mar 23, 2021;0;8;0;0;14;0;;0;0;;0;0;0;;0;0;1.63;0.046;0;0;31.27;32;0.7311;0:01:22;335;2.99
K1mfdgwRMOo;🐲 PHOTOSHOP: Tríptico Dragón | DelcaVideography;Sep 25, 2018;;0;0;;0;0;;0;0;;0;0;0;;0;0;;0.009;0;0;0;0;0;0:00:00;26;0
KLaGimX4TbY;LOGO TIPO CÓMIC: TUTORIAL COREL DRAW DelcaVideography;Mar 6, 2018;;0;0;0;4;0;;0;0;;0;0;0;;0;0;0.313;0.005;0;0;18.62;18;11,302;0:03:46;415;2.89
KmOBfseuvhg;🤘 Te Enseño ▷ 15 TRUCOS de SONY VEGAS PRO que *DEBES SABER* 💪  ► DelcaVideography;Aug 9, 2017;0;52;0;0;144;0;;0;0;100;0;-1;0;;0;2;1,236;0.182;0;1;29.58;151;83,736;0:03:19;4768;2.31
KqBGDNGJ8-c;"🧐 El Proceso de DISEÑO de LOGOS ""DEFINITIVO"" en CorelDRAW ▶ PASO a PASO | DelcaVideography";Sep 30, 2021;0;6;0;0;9;0;;0;0;;0;0;0;;0;0;1,429;0.01;0;0;46.93;7;0.5448;0:04:40;145;2.76
L-X84L91f-Y;Vegas Pro TUTORIAL para PRINCIPIANTES | EFECTOS ESPECIALES | DelcaVideography;Jan 28, 2020;;0;0;;0;0;;0;0;;0;0;0;;0;0;1,333;0.004;0;0;13.1;3;0.1405;0:02:48;69;4.35
LFfIa0O1WtQ;CÓMO CREAR ILUSTRACIÓN POLIGONAL en Corel DRAW | DelcaVideography;Mar 26, 2019;;0;0;0;9;0;;0;0;100;0;1;0;;0;0;1,308;0.02;0;0;19.26;15;0.7464;0:02:59;166;5.42
LO_Hv7YCVIU;¡Los secretos para diseñar un logo impactante en minutos! 🤩 @DelcaX;Jan 5, 2023;;0;0;;0;0;;0;0;100;0;2;56;62.5;0;0;0.027;0.001;0;0;55.37;40;0.3691;0:00:33;859;1.98
LPegaRQUryQ;Cómo separar colores para Serigafría en Corel DRAW | DelcaVideography;Apr 22, 2019;0;8;0;0;30;0;;0;0;100;0;1;0;;0;1;1.48;0.076;0;0;27.32;57;51,296;0:05:23;727;4.4
LjB6rhnbfS8;Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL DelcaVideography;Jul 29, 2021;;0;0;;0;0;;0;0;;0;0;1;100;0;0;0;0;0;0;78.82;1;0.0074;0:00:26;5;0
Lv-jEldkTJo;(INTERMEDIO) TUTORIAL COREL DRAW X8 CINTAS DECORATIVAS;Jan 19, 2017;;0;0;0;11;0;;0;0;100;0;1;0;;0;1;0.538;0.015;0;0;12.56;27;13,055;0:02:54;253;4.74
MFmPWLTSEds;Cómo crear EFECTO CRISTAL en Corel DRAW | DelcaVideography;Jun 26, 2018;0;12;0;0;22;0;;0;0;;0;0;0;;0;0;0.979;0.051;0;0;25.24;52;45,274;0:05:13;1126;3.73
MZ0Wz8Gt43Y;COREL DRAW X8 - RESEÑA Y OPINIÓN / WHAT'S NEW ON COREL DRAW X8;Mar 29, 2016;;0;0;;0;0;;0;0;;;;0;;;;;0;;;3.97;1;0.0102;0:00:36;21;4.76
Ma9MkuAkXNE;👽 MAGIA EN SONY VEGAS PRO - CHROMA KEY EFFECT 👽;Jan 31, 2017;;0;0;0;5;0;;0;0;;0;0;0;;0;0;2.6;0.013;0;0;22.72;5;0.3792;0:04:33;167;1.2
N4y-4I7f8b8;POLAROID Effect + TIMELAPSE in Sony Vegas Pro;Mar 23, 2014;;0;0;;0;0;;0;0;;0;0;0;;0;0;0;0;0;0;28.95;4;0.018;0:00:16;18;22.22
NIq-W_cx8os;TUTORIAL 😎 EFECTO FAMOSO 😎 SONY VEGAS PRO (CELEBRITY EFFECT);Aug 1, 2017;0;3;0;0;5;0;;0;0;;0;0;0;;0;0;0.357;0.005;0;0;28.28;15;1,004;0:04:00;207;3.86
Nhk20HJB25U;Cómo crear el logo ANDROID en Corel DRAW | DelcaVideography;Jul 17, 2018;;0;0;0;6;0;;0;0;;0;0;0;;0;0;0.765;0.013;0;0;18.84;17;0.8229;0:02:54;247;1.62
NlJNPtlPjBM;Cómo crear logo NINTENDO GAMECUBE en Corel DRAW | DelcaVideography;May 14, 2019;;0;0;;0;0;;0;0;;0;0;0;;0;0;0.5;0.003;0;0;6.22;6;0.0963;0:00:57;101;3.96
NyZrNQkDyoY;🤖 Creando robots espaciales en Adobe Illustrator | DelcaVideography 🤖;Sep 18, 2018;;0;0;;0;0;;0;0;100;0;1;0;;0;0;0.2;0.001;0;1;8.79;6;0.1859;0:01:51;126;1.59
O1WRtlYhFX0;📀 GOLDEN RING LOGO TUTORIAL in COREL DRAW | DelcaVideography;Apr 28, 2020;0;9;0;0;31;0;;0;0;;0;0;0;;0;0;0.462;0.013;0;0;34.65;29;30,541;0:06:19;821;1.71
O1Z08LHtUto;🎇 5 TRUCOS para CREAR DISEÑOS PRO en CorelDRAW ▶ TUTORIAL | DelcaVideography;May 24, 2022;0;9;0;0;18;0;;0;0;100;0;2;0;;0;1;0.703;0.03;0;2;39.25;43;55,652;0:07:45;522;3.64
