;nombre_video;fecha_publicacion;visualizaciones;tiempo_de_visualizacion_(horas);suscriptores;tus_ingresos_estimados_(usd);impresiones;porcentaje_de_clics_de_las_impresiones_(%);nombre_video_original;info_videos;duracion_video;page_links;id;dateCreated;likes;dislikes;rating;viewCount;Tema;Cant_Recomendaciones;Tiempo_Recomendación1;Tiempo_Recomendación2;Tiempo_Recomendación3;minutos_recom1;minutos_recom2;minutos_recom3;Publicidad_inicio;Publicidad_fin;Cant_Publicidad_durante;Tiempo_Publicidad_1;Tiempo_Publicidad_2;Tiempo_Publicidad_3;Tiempo_Publicidad_4;Tiempo_Publicidad_5;Tiempo_Publicidad_6;Tiempo_Publicidad_7;Tiempo_Publicidad_8;Polarity;minutos_publi1;minutos_publi2;minutos_publi3;minutos_publi4;minutos_publi5;minutos_publi6;minutos_publi7;minutos_publi8;fecha_publicacion_ff;dia_semana_str;dia_semana;duracion_video_minutos;duracion_video_segundos;duracion_video_horas;porc_visualizacion;marca_exito;marca_exito2;rangos_duracion_video;rangos_Cant_Publicidad;rangos_Cant_Recomendaciones;consecutivo_tema;Cantida Publicidad;Cantida Recomendacion;Duracion Minutos;Densidad_Publicitaria;Densidad_Recomendacion;porc_min_recom1;porc_min_recom2;porc_min_recom3;porc_min_publi1;porc_min_publi2;porc_min_publi3;porc_min_publi4;porc_min_publi5;porc_min_publi6;porc_min_publi7;porc_min_publi8
0;CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶;20210902;1322;55.4837;1;1.359;62872;0.87;CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶ DelcaVideography de DelcaVideography;1 año 6 minutos y 46 segundos 1,322 visitas;00:06:46;https://www.youtube.com/watch?v=7nF_xuJXP2Y;7nF_xuJXP2Y;2022-02-14T07:40:37.697197Z;79;2;4.901234568;1233;Tips CorelDraw;3;00:06:26.000007;00:06:28.000008;00:06:30.000010;6.433333333;6.466666667;6.5;1;1;0;;;;;;;;;0.5375;;;;;;;;;2021-09-02 00:00:00;Thursday;3;6.766666667;46;0.125555556;0.334270481;1;0;(0.0, 0.169];;3.0;14;0;3;7.533333333;0;0.398;0.853982301;0.85840708;0.862831858;;;;;;;;
1;Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO;20210601;2344;95.3512;5;2.184;33250;4.18;Cómo CONVERTIR CLIPS DE VIDEO a GIF ANIMADOS usando Vegas PRO de DelcaVideography;1 año 11 minutos y 54 segundos 2,337 visitas;00:11:54;https://www.youtube.com/watch?v=e4G-6BlBGdY;e4G-6BlBGdY;2022-01-25T15:26:55.804002Z;75;8;4.614457831;2132;Edición videos;3;00:11:33.000007;00:11:35.000010;00:11:37.000018;11.55;11.58333333;11.61666667;1;1;4;00:04:38.000012;00:06:21.000015;00:08:58.000018;00:10:54.000013;;;;;0.444921875;4.633333333;6.35;8.966666667;10.9;;;;;2021-06-01 00:00:00;Tuesday;1;11.9;54;0.213333333;0.190682061;0;1;(0.169, 0.214];(2.0, 4.0];3.0;5;4;3;12.8;0.312;0.234;0.90234375;0.904947917;0.907552083;0.361979167;0.49609375;0.700520833;0.8515625;;;;
2;Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021);20210525;3078;390.6325;35;7.989;57793;2.98;Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021) de DelcaVideography;1 año 35 minutos 3,077 visitas;00:35:02;https://www.youtube.com/watch?v=gDyOAURjjrc;gDyOAURjjrc;2022-01-24T10:23:31.466619Z;160;8;4.80952381;2966;Diseño distinto a Logos;3;00:34:41.350000;00:34:47.033333;00:34:53.050000;34.68333333;34.78333333;34.88333333;1;1;8;00:03:09;00:07:15.000023;00:12:06.000017;00:16:17.000020;00:21:25;00:26:04.266667;00:29:58.016667;00:34:46.266667;0.180208333;3.15;7.25;12.1;16.28333333;21.41666667;26.06666667;29.96666667;34.76666667;2021-05-25 00:00:00;Tuesday;1;35.03333333;2;0.584444444;0.217148345;0;0;;(4.0, 8.0];3.0;4;8;3;35.06666667;0.228;0.086;0.989068441;0.991920152;0.994771863;0.089828897;0.206749049;0.345057034;0.464353612;0.610741445;0.743346008;0.854562738;0.991444867
3;Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022;20220427;5283;225.6908;15;5.929;65191;4.37;Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022 de DelcaVideography;6 meses 9 minutos y 51 segundos 5,292 visitas;00:09:51;https://www.youtube.com/watch?v=_EjDfu5upcg;_EjDfu5upcg;2022-10-30T23:54:00.154808Z;90;0;5;5292;Informativo CorelDraw;2;00:09:31.000004;00:09:50.000022;;9.516666667;9.833333333;;1;1;3;00:03:56.000013;00:07:31.000003;00:09:50.000020;;;;;;0.34;3.933333333;7.516666667;9.833333333;;;;;;2022-04-27 00:00:00;Wednesday;2;9.85;51;0.178333333;0.239552506;0;1;(0.169, 0.214];(2.0, 4.0];2.0;8;3;2;10.7;0.28;0.187;0.8894081;0.919003115;;0.367601246;0.702492212;0.919003115;;;;;
4;Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW;20211019;3034;200.6775;15;5.123;82848;1.88;Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW;1 año 11 minutos y 55 segundos 3,058 visitas;00:11:55;https://www.youtube.com/watch?v=uh-dv1gvpTI;uh-dv1gvpTI;2022-03-02T10:45:49.452294Z;214;7;4.873303167;2643;Técnicas CorelDraw;3;00:11:35.000004;00:11:37.000005;00:11:39.000008;11.58333333;11.61666667;11.65;1;1;3;00:03:41.000015;00:06:21.000009;00:10:05.000010;;;;;;0.665;3.683333333;6.35;10.08333333;;;;;;2021-10-19 00:00:00;Tuesday;1;11.91666667;55;0.213888889;0.309239442;1;0;(0.169, 0.214];(2.0, 4.0];3.0;16;3;3;12.83333333;0.234;0.234;0.902597403;0.905194805;0.907792208;0.287012987;0.494805195;0.785714286;;;;;
5;TIMELAPSE LOGO DESIGN TUTORIAL DelcaVideography de DelcaVideography;20210418;951;21.9096;0;1.22;18601;2.55;TIMELAPSE LOGO DESIGN TUTORIAL DelcaVideography de DelcaVideography;1 año 3 minutos y 30 segundos 917 visitas;00:03:30;https://www.youtube.com/watch?v=aJ7j5jZ3IwE;aJ7j5jZ3IwE;2022-01-23T17:32:46.661852Z;47;0;5;762;Logo en CorelDraw;2;00:03:09.000003;00:03:14.000017;;3.15;3.233333333;;1;1;0;;;;;;;;;;;;;;;;;;2021-04-18 00:00:00;Sunday;6;3.5;30;0.066666667;0.345577287;1;0;(0.0, 0.169];;2.0;10;0;2;4;0;0.5;0.7875;0.808333333;;;;;;;;;
6;Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW;20210819;1018;35.7847;2;0.958;40070;1.09;☄ Tips BÁSICOS para CREAR LOGOS EFICIENTES ▶ TUTORIAL CorelDRAW ;1 año 5 minutos y 49 segundos 1,017 visitas;00:05:49;https://www.youtube.com/watch?v=0ZNtr90_roU;0ZNtr90_roU;2022-02-14T07:40:12.656935Z;51;3;4.777777778;872;Tips CorelDraw;3;00:05:29.000004;00:05:31.000009;00:05:33.000008;5.483333333;5.516666667;5.55;1;1;0;;;;;;;;;0.524270833;;;;;;;;;2021-08-19 00:00:00;Thursday;3;5.816666667;49;0.110555556;0.317957469;1;0;(0.0, 0.169];;3.0;14;0;3;6.633333333;0;0.452;0.826633166;0.831658291;0.836683417;;;;;;;;
7;⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;20220830;821;64.7724;1;1.309;28310;1.76;⚡ 3 CONSEJOS CLAVE para CREAR LOGOS en CorelDRAW ▶ TUTORIAL;2 meses 17 minutos 791 visitas;00:17:25;https://www.youtube.com/watch?v=Fr9VZumHykY;Fr9VZumHykY;2022-10-30T20:29:56.441379Z;84;0;5;791;Consejos CorelDraw;3;00:17:05.000022;00:17:07.000002;00:17:07.000006;17.08333333;17.11666667;17.11666667;1;1;3;00:04:28.000017;00:09:23.000010;00:14:06.000004;;;;;;0.35;4.466666667;9.383333333;14.1;;;;;;2022-08-30 00:00:00;Tuesday;1;17.41666667;25;0.297222222;0.265439503;0;0;(0.214, 0.31];(2.0, 4.0];3.0;2;3;3;17.83333333;0.168;0.168;0.957943925;0.959813084;0.959813084;0.25046729;0.526168224;0.790654206;;;;;
8;⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯;20210629;796;36.2929;1;1.059;21638;1.52;⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯ de DelcaVideography;1 año 6 minutos y 51 segundos 795 visitas;00:06:51;https://www.youtube.com/watch?v=EyXoJv2ZJj4;EyXoJv2ZJj4;2022-02-14T07:40:37.740012Z;42;2;4.818181818;715;Técnicas CorelDraw;3;00:06:34.000014;00:06:35.000014;00:06:37.000024;6.566666667;6.583333333;6.616666667;1;1;0;;;;;;;;;0.589301215;;;;;;;;;2021-06-29 00:00:00;Tuesday;1;6.85;51;0.128333333;0.355278666;1;0;(0.0, 0.169];;3.0;16;0;3;7.7;0;0.39;0.852813853;0.854978355;0.859307359;;;;;;;;
9;⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL;20210907;2425;252.7519;8;4.534;77884;1.53;⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL ▶ DelcaVideography de DelcaVideography;1 año 18 minutos 2,425 visitas;00:18:43;https://www.youtube.com/watch?v=5i5xOm8DyII;5i5xOm8DyII;2022-02-14T07:40:11.512604Z;152;2;4.948051948;1993;Herramientas CorelDraw;3;00:18:23.000005;00:18:25.000006;00:18:27.000008;18.38333333;18.41666667;18.45;1;1;6;00:03:03.000018;00:07:15;00:09:59.000020;00:11:25;00:13:09.000018;00:18:19.000008;;;0.489666667;3.05;7.25;9.983333333;11.41666667;13.15;18.31666667;;;2021-09-07 00:00:00;Tuesday;1;18.71666667;43;0.323888889;0.321800442;1;0;;(4.0, 8.0];3.0;7;6;3;19.43333333;0.309;0.154;0.945969125;0.947684391;0.949399657;0.156946827;0.373070326;0.513722127;0.587478559;0.676672384;0.942538593;;
10;⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL;20220208;1377;47.2637;6;2.16;40883;1.55;⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL;8 meses 12 minutos y 2 segundos 1,430 visitas;00:12:02;https://www.youtube.com/watch?v=DpuEqUy3IsQ;DpuEqUy3IsQ;2022-02-08T22:12:55.056597Z;7;0;5;26;Edición videos;3;00:11:42.000025;00:11:44.000017;00:11:46.000020;11.7;11.73333333;11.76666667;1;1;3;00:02:57.000023;00:06:30.000001;00:11:11.000020;;;;;;-0.2;2.95;6.5;11.18333333;;;;;;2022-02-08 00:00:00;Tuesday;1;12.03333333;2;0.201111111;0.170670205;0;0;(0.169, 0.214];(2.0, 4.0];3.0;5;3;3;12.06666667;0.249;0.249;0.96961326;0.972375691;0.975138122;0.244475138;0.538674033;0.92679558;;;;;
11;⚡ DISEÑA el LOGO GRATIS para TU NEGOCIO en CorelDRAW  ▶ TUTORIAL;20220510;1591;138.6238;3;3.173;40117;2.41;⚡ DISEÑA el LOGO GRATIS para TU NEGOCIO en CorelDRAW  ▶ TUTORIAL;5 meses 19 minutos 1,528 visitas;00:19:49;https://www.youtube.com/watch?v=XrQZ3jFi738;XrQZ3jFi738;2022-10-30T23:54:00.420713Z;120;2;4.93442623;1528;Logo en CorelDraw;3;00:19:28.000019;00:19:28.000025;00:19:29.000007;19.46666667;19.46666667;19.48333333;1;1;4;00:06:49.000022;00:09:04.000015;00:14:07;00:16:16.000023;;;;;0.636111111;6.816666667;9.066666667;14.11666667;16.26666667;;;;;2022-05-10 00:00:00;Tuesday;1;19.81666667;49;0.343888889;0.253366666;0;0;;(2.0, 4.0];3.0;10;4;3;20.63333333;0.194;0.145;0.943457189;0.943457189;0.944264943;0.330371567;0.439418417;0.684168013;0.788368336;;;;
12;⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW;20220628;1320;126.9103;6;1.753;25757;2.86;⚡ El TUTORIAL que te CONVERTIRÁ en PRO  ▶ Debes VERLO 👉🏼 CorelDRAW;4 meses 22 minutos 1,291 visitas;00:22:46;https://www.youtube.com/watch?v=4AqdI-t6S9c;4AqdI-t6S9c;2022-10-30T23:53:54.974009Z;132;2;4.940298507;1291;Diseño distinto a Logos;3;00:22:26.000023;00:22:28.000004;00:22:28.000008;22.43333333;22.46666667;22.46666667;1;1;5;00:04:32.000014;00:08:42.000015;00:14:42.000016;00:19:32.000008;00:21:36.000008;;;;0.741651042;4.533333333;8.7;14.7;19.53333333;21.6;;;;2022-06-28 00:00:00;Tuesday;1;22.76666667;46;0.392222222;0.245126771;0;0;;(4.0, 8.0];3.0;4;5;3;23.53333333;0.212;0.127;0.95325779;0.954674221;0.954674221;0.192634561;0.369688385;0.624645892;0.830028329;0.917847025;;;
13;⚡ La MEJOR FORMA de ORGANIZAR tus PÁGINAS 🔥 en CorelDRAW 👉🏼 Tutorial (2021) 😮 de DelcaVideography;20210427;3297;151.6939;12;4.325;50523;3.66;⚡ La MEJOR FORMA de ORGANIZAR tus PÁGINAS 🔥 en CorelDRAW 👉🏼 Tutorial (2021) 😮 de DelcaVideography;1 año 10 minutos y 6 segundos 3,178 visitas;00:10:06;https://www.youtube.com/watch?v=XFF0wVINP0w;XFF0wVINP0w;2022-02-14T07:39:47.827489Z;47;0;5;1663;Herramientas CorelDraw;3;00:09:45.000010;00:09:50.000015;00:09:56.000016;9.75;9.833333333;9.933333333;1;1;4;00:02:01.000003;00:04:13.000020;00:08:34.000012;00:09:50.000007;;;;;;2.016666667;4.216666667;8.566666667;9.833333333;;;;;2021-04-27 00:00:00;Tuesday;1;10.1;6;0.17;0.27064515;0;1;(0.169, 0.214];(2.0, 4.0];3.0;7;4;3;10.2;0.392;0.294;0.955882353;0.964052288;0.973856209;0.197712418;0.413398693;0.839869281;0.964052288;;;;
14;⚡ PRUEBA FLEXCLIP 2022  y CREA VIDEOS para YOUTUBE SIN SER EXPERTO ▶ Tutorial;20220629;383;18.098;0;1.065;12604;1.34;⚡ PRUEBA FLEXCLIP 2022  y CREA VIDEOS para YOUTUBE SIN SER EXPERTO ▶ Tutorial;4 meses 12 minutos y 29 segundos 365 visitas;00:12:29;https://www.youtube.com/watch?v=fQlojG2yhPk;fQlojG2yhPk;2022-10-30T23:53:18.234997Z;32;0;5;365;Edición videos;0;;;;;;;1;1;3;00:01:31.000010;00:08:20.000010;00:12:06.000006;;;;;;;1.516666667;8.333333333;12.1;;;;;;2022-06-29 00:00:00;Wednesday;2;12.48333333;29;0.216111111;0.218652634;0;0;(0.214, 0.31];(2.0, 4.0];0.0;5;3;0;12.96666667;0.231;0;;;;0.116966581;0.642673522;0.933161954;;;;;
15;⚡ SIMPLIFICA ASÍ tus DISEÑOS 🤔 ▶ TUTORIAL CorelDRAW;20220621;1589;120.7222;12;2.291;31753;3.28;⚡ SIMPLIFICA ASÍ tus DISEÑOS 🤔 ▶ TUTORIAL CorelDRAW;4 meses 18 minutos 1,563 visitas;00:18:34;https://www.youtube.com/watch?v=vyg5_ZPlMfA;vyg5_ZPlMfA;2022-06-24T02:36:09.788397Z;84;0;5;989;Diseño distinto a Logos;3;00:18:14.000005;00:18:15;00:18:15.000016;18.23333333;18.25;18.25;1;1;3;00:03:40.000002;00:07:21.000020;00:15:43.000001;;;;;;0.477083333;3.666666667;7.35;15.71666667;;;;;;2022-06-21 00:00:00;Tuesday;1;18.56666667;34;0.318888889;0.238245034;0;1;;(2.0, 4.0];3.0;4;3;3;19.13333333;0.157;0.157;0.952961672;0.953832753;0.953832753;0.191637631;0.384146341;0.821428571;;;;;
16;✅ APRENDE TODO para DIBUJAR en PERSPECTIVA 👉🏼 CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography;20210405;5494;662.1729;34;9.03;104533;3.03;✅ APRENDE TODO para DIBUJAR en PERSPECTIVA 👉🏼 CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography;1 año 47 minutos 5,407 visitas;00:47:26;https://www.youtube.com/watch?v=VHS8AU5hh9U;VHS8AU5hh9U;2022-01-25T01:33:30.553312Z;132;8;4.771428571;3869;Técnicas CorelDraw;3;00:47:05.433333;00:47:11.033333;00:47:17.050000;47.08333333;47.18333333;47.28333333;1;1;8;00:06:02.000014;00:12:37.000013;00:17:46.000001;00:25:28.033333;00:31:31.266667;00:36:44.116667;00:41:53.466667;00:47:10.333333;;6.033333333;12.61666667;17.76666667;25.46666667;31.51666667;36.73333333;41.88333333;47.16666667;2021-04-05 00:00:00;Monday;0;47.43333333;26;0.797777778;0.151077856;0;1;;(4.0, 8.0];3.0;16;8;3;47.86666667;0.167;0.063;0.983635097;0.985724234;0.98781337;0.126044568;0.263579387;0.371169916;0.532033426;0.658426184;0.767409471;0.875;0.985376045
17;✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography;20210419;17952;1332.1262;120;20.743;167172;6.29;✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography;1 año 23 minutos 17,016 visitas;00:23:24;https://www.youtube.com/watch?v=pyRbyr-YEl0;pyRbyr-YEl0;2022-02-02T11:31:00.84553Z;191;5;4.897959184;8709;Técnicas CorelDraw;3;00:23:03.000006;00:23:08.000011;00:23:14.000012;23.05;23.13333333;23.23333333;1;1;6;00:03:34.000009;00:08:08.000019;00:13:17.000020;00:17:40.000015;00:21:07.000023;00:23:08.000001;;;;3.566666667;8.133333333;13.28333333;17.66666667;21.11666667;23.13333333;;;2021-04-19 00:00:00;Monday;0;23.4;24;0.396666667;0.187071153;0;1;;(4.0, 8.0];3.0;16;6;3;23.8;0.252;0.126;0.968487395;0.971988796;0.976190476;0.149859944;0.341736695;0.558123249;0.742296919;0.887254902;0.971988796;;
18;✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography;20210412;2253;172.9071;5;3.272;51608;2.71;✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography;1 año 21 minutos 2,141 visitas;00:21:00;https://www.youtube.com/watch?v=Z42jLF2utFU;Z42jLF2utFU;2022-01-21T00:32:50.843913Z;41;0;5;1009;Herramientas CorelDraw;3;00:20:39.000021;00:20:45.000002;00:20:51.000003;20.65;20.75;20.85;1;1;4;00:02:26.000009;00:07:04.000005;00:13:29.000002;00:17:47.000002;;;;;;2.433333333;7.066666667;13.48333333;17.78333333;;;;;2021-04-12 00:00:00;Monday;0;21;0;0.35;0.219272208;0;0;;(2.0, 4.0];3.0;7;4;3;21;0.19;0.143;0.983333333;0.988095238;0.992857143;0.115873016;0.336507937;0.642063492;0.846825397;;;;
19;✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography;20210223;5227;548.0251;19;13.314;68965;2.55;✅ Respondo 👉🏼 las 10 PREGUNTAS MÁS FRECUENTES sobre Corel DRAW ▶ DelcaVideography de DelcaVideography;1 año 24 minutos 5,009 visitas;00:24:39;https://www.youtube.com/watch?v=XDmzkfD6vJg;XDmzkfD6vJg;2022-03-03T14:04:15.58141Z;112;6;4.796610169;3221;Preguntas Frecuentes CorelDraw;2;00:24:24.083333;00:24:24.083333;;24.4;24.4;;1;1;5;00:03:35;00:08:10;00:09:39;00:16:23;00:23:16;;;;;3.583333333;8.166666667;9.65;16.38333333;23.26666667;;;;2021-02-23 00:00:00;Tuesday;1;24.65;39;0.421666667;0.248644398;0;0;;(4.0, 8.0];2.0;12;5;2;25.3;0.198;0.079;0.964426877;0.964426877;;0.141633729;0.322793149;0.381422925;0.647562582;0.919631094;;;
20;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL;20211117;2475;131.3804;19;4.996;87214;1.23;✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL;11 meses 9 minutos y 5 segundos 2,478 visitas;00:09:05;https://www.youtube.com/watch?v=7HXsIyciyG0;7HXsIyciyG0;2022-01-21T08:08:50.145384Z;184;3;4.935828877;1869;Técnicas CorelDraw;3;00:08:45.000005;00:08:47.000006;00:08:49.000009;8.75;8.783333333;8.816666667;1;1;2;00:04:42.000014;00:07:03.000013;;;;;;;0.491666667;4.7;7.05;;;;;;;2021-11-17 00:00:00;Wednesday;2;9.083333333;5;0.152777778;0.347452298;1;0;(0.0, 0.169];(0.0, 2.0];3.0;16;2;3;9.166666667;0.218;0.327;0.954545455;0.958181818;0.961818182;0.512727273;0.769090909;;;;;;
21;✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW;20220614;1282;113.4128;6;2.329;29293;2.63;✍🏼 Si APRENDES esta TÉCNICA puedes CREAR LOGOS como un PRO ▶ TUTORIAL CorelDRAW;4 meses 17 minutos 1,211 visitas;00:17:17;https://www.youtube.com/watch?v=SChyIBkkCfg;SChyIBkkCfg;2022-06-15T02:31:32.721327Z;33;0;5;193;Diseño distinto a Logos;3;00:16:59.000017;00:17:00.000018;00:17:00.000018;16.98333333;17;17;1;1;4;00:05:49.000012;00:09:40.000010;00:11:54.000019;00:14:47.000020;;;;;0.3125;5.816666667;9.666666667;11.9;14.78333333;;;;;2022-06-14 00:00:00;Tuesday;1;17.28333333;17;0.292777778;0.30215928;1;0;(0.214, 0.31];(2.0, 4.0];3.0;4;4;3;17.56666667;0.228;0.171;0.966793169;0.967741935;0.967741935;0.331119545;0.55028463;0.677419355;0.841555977;;;;
